

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.032  000.023: event init
000.090  000.058: early init
010.090  010.000: locale set
010.126  000.035: init first window
010.482  000.356: inits 1
010.507  000.025: window checked
010.512  000.006: parsing arguments
011.162  000.198  000.198: require('vim.shared')
011.926  000.276  000.276: require('vim._options')
011.936  000.768  000.492: require('vim._editor')
011.941  001.047  000.081: require('vim._init_packages')
011.951  000.392: init lua interpreter
012.564  000.613: expanding arguments
012.590  000.026: inits 2
013.051  000.461: init highlight
013.053  000.003: waiting for UI
013.159  000.105: done waiting for UI
013.164  000.005: clear screen
013.318  000.154: init default mappings & autocommands
014.378  000.075  000.075: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\ftplugin.vim
014.616  000.045  000.045: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime\indent.vim
016.042  000.962  000.962: require('config.globals')
017.207  000.015  000.015: require('vim.F')
017.232  000.802  000.787: require('vim.diagnostic')
017.247  001.199  000.397: require('config.options')
017.437  000.034  000.034: require('vim.keymap')
017.541  000.291  000.257: require('config.keymaps')
017.702  000.158  000.158: require('config.themes')
017.864  000.157  000.157: require('lazy')
017.899  000.014  000.014: require('ffi')
018.113  000.210  000.210: require('vim.loader')
018.432  000.130  000.130: require('vim.fs')
018.651  000.393  000.263: require('lazy.stats')
018.981  000.225  000.225: require('lazy.core.util')
019.123  000.136  000.136: require('lazy.core.config')
019.397  000.135  000.135: require('lazy.core.handler')
019.526  000.123  000.123: require('lazy.core.plugin')
019.533  000.405  000.148: require('lazy.core.loader')
020.155  000.098  000.098: require('plugins')
020.319  000.150  000.150: require('plugins.autopairs')
020.455  000.124  000.124: require('plugins.catppuccin')
020.600  000.136  000.136: require('plugins.comment')
020.745  000.133  000.133: require('plugins.fzflua')
020.983  000.224  000.224: require('plugins.gitsigns')
021.124  000.131  000.131: require('plugins.guard')
021.275  000.136  000.136: require('plugins.indent-blankline')
021.402  000.117  000.117: require('plugins.lspsaga-nvim')
021.547  000.135  000.135: require('plugins.lualine')
021.658  000.101  000.101: require('plugins.mason')
021.806  000.137  000.137: require('plugins.mason-lspconfig')
022.083  000.148  000.148: require('plugins.nvim-cmp')
022.218  000.115  000.115: require('plugins.nvim-lint')
022.346  000.118  000.118: require('plugins.nvim-lspconfig')
022.477  000.108  000.108: require('plugins.nvim-treesitter')
022.616  000.114  000.114: require('plugins.nvim-ts-autotag')
022.768  000.126  000.126: require('plugins.oil')
023.171  000.159  000.159: require('plugins.startup')
023.349  000.157  000.157: require('plugins.tsc')
023.501  000.139  000.139: require('plugins.vim-highlightedyank')
023.649  000.133  000.133: require('plugins.whichkey')
023.940  000.116  000.116: require('lazy.core.handler.cmd')
024.058  000.111  000.111: require('lazy.core.handler.keys')
024.182  000.119  000.119: require('lazy.core.handler.event')
024.284  000.097  000.097: require('lazy.core.handler.ft')
024.512  000.129  000.129: require('vim.inspect')
025.491  000.768  000.768: sourcing C:\tools\neovim\nvim-win64\share\nvim\runtime/filetype.lua
026.603  000.077  000.077: sourcing C:/Users/chris/AppData/Local/../../Documents/Dev/Environment/nvim-data/lazy/plenary.nvim/plugin/plenary.vim
027.869  000.107  000.107: require('plenary.bit')
027.977  000.102  000.102: require('plenary.functional')
027.991  000.356  000.148: require('plenary.path')
028.086  000.549  000.192: require('plenary.log')
028.106  001.304  000.755: require('startup.log')
028.240  000.131  000.131: require('startup.themes.dashboard')
028.378  000.133  000.133: require('startup.utils')
028.386  002.867  001.223: require('startup')
028.488  000.100  000.100: require('startup.themes.empty')
032.409  000.259  000.259: require('catppuccin')
032.654  000.111  000.111: require('catppuccin.lib.hashing')
032.781  000.118  000.118: require('catppuccin.lib.compiler')
032.906  000.120  000.120: require('catppuccin.lib.mapper')
033.041  000.131  000.131: require('catppuccin.palettes')
033.152  000.105  000.105: require('catppuccin.palettes.frappe')
033.473  000.155  000.155: require('catppuccin.lib.hsluv')
033.481  000.305  000.150: require('catppuccin.utils.colors')
033.663  000.168  000.168: require('catppuccin.groups.syntax')
033.859  000.148  000.148: require('catppuccin.groups.editor')
034.083  000.162  000.162: require('catppuccin.groups.integrations.rainbow_delimiters')
034.287  000.164  000.164: require('catppuccin.groups.integrations.ufo')
034.488  000.166  000.166: require('catppuccin.groups.integrations.nvimtree')
034.619  000.114  000.114: require('catppuccin.groups.integrations.neogit')
034.828  000.116  000.116: require('catppuccin.groups.integrations.flash')
034.943  000.099  000.099: require('catppuccin.groups.integrations.alpha')
035.055  000.098  000.098: require('catppuccin.groups.integrations.dashboard')
